date, tBidSz, tBid, tAsk, tAskSz, fvTurn, trdPrc, trdSz, onBidSz, onAskSz, time, anchor(4), event, turnMove, fvSpot, spotMove, delta, upDelta, sumUpDelta(10), avgUp(10), up(10)from, sumUpDelta(20), avgUp(20), up(20)from, dnDelta, sumDnDelta(10), avgDn(10), dn(10)from, sumDnDelta(20), avgDn(20), dn(20)from, upCnt, totSumUp, totAvgUp, totUpFrom, dnCnt, totSumDn, totAvgDn, totDnFrom, 
20140815, 916, 195525, 195550, 145, 195547,  ,  , 144244, 137160, 10:42:54.0, 195550, dn, -1, 14.5905, 0.952806, 0.952806,  , 3.20618, 0, 0:0:0.0, 3.20618, 0, 0:0:0.0, 0.952806, 4.11581, 0, 0:0:0.0, 4.11581, 0, 0:0:0.0, 6, 3.20618, 0.534363, 9:28:6.0, 8, 4.11581, 0.514477, 9:40:0.0, 
20140815, 168, 195650, 195675, 229, 195661,  ,  , 144671, 142811, 10:43:18.0, 195650, up, 1, 14.5754, -0.302218, 0.302218, 0.302218, 3.5084, 0, 0:0:0.0, 3.5084, 0, 0:0:0.0,  , 4.11581, 0, 0:0:0.0, 4.11581, 0, 0:0:0.0, 7, 3.5084, 0.5012, 9:28:6.0, 8, 4.11581, 0.514477, 9:40:0.0, 
20140815, 685, 195525, 195550, 1066, 195535,  ,  , 149642, 151613, 10:44:14.0, 195550, dn, -1, 14.5899, 0.290038, 0.290038,  , 3.5084, 0, 0:0:0.0, 3.5084, 0, 0:0:0.0, 0.290038, 4.40585, 0, 0:0:0.0, 4.40585, 0, 0:0:0.0, 7, 3.5084, 0.5012, 9:28:6.0, 9, 4.40585, 0.489539, 9:40:0.0, 
20140815, 703, 195425, 195450, 111, 195447,  ,  , 157225, 154271, 10:44:38.0, 195450, dn, -1, 14.6074, 0.349623, 0.349623,  , 3.5084, 0, 0:0:0.0, 3.5084, 0, 0:0:0.0, 0.349623, 4.75548, 0.475548, 9:40:0.0, 4.75548, 0, 0:0:0.0, 7, 3.5084, 0.5012, 9:28:6.0, 10, 4.75548, 0.475548, 9:40:0.0, 
20140815, 603, 195325, 195350, 257, 195343,  ,  , 168695, 157679, 10:45:6.0, 195350, dn, -1, 14.6686, 1.22454, 1.22454,  , 3.5084, 0, 0:0:0.0, 3.5084, 0, 0:0:0.0, 1.22454, 5.2959, 0.52959, 9:43:51.0, 5.98002, 0, 0:0:0.0, 7, 3.5084, 0.5012, 9:28:6.0, 11, 5.98002, 0.543638, 9:40:0.0, 
20140815, 18, 195450, 195475, 454, 195451,  ,  , 168731, 163111, 10:45:24.0, 195450, up, 1, 14.643, -0.512093, 0.512093, 0.512093, 4.02049, 0, 0:0:0.0, 4.02049, 0, 0:0:0.0,  , 5.2959, 0.52959, 9:43:51.0, 5.98002, 0, 0:0:0.0, 8, 4.02049, 0.502561, 9:28:6.0, 11, 5.98002, 0.543638, 9:40:0.0, 
20140815, 714, 195325, 195350, 64, 195348,  ,  , 175998, 167457, 10:46:32.0, 195350, dn, -1, 14.6923, 0.984735, 0.984735,  , 4.02049, 0, 0:0:0.0, 4.02049, 0, 0:0:0.0, 0.984735, 5.76855, 0.576855, 10:15:9.0, 6.96475, 0, 0:0:0.0, 8, 4.02049, 0.502561, 9:28:6.0, 12, 6.96475, 0.580396, 9:40:0.0, 
20140815, 150, 195225, 195250, 20, 195247,  ,  , 179660, 168568, 10:46:40.0, 195250, dn, -1, 14.7076, 0.306077, 0.306077,  , 4.02049, 0, 0:0:0.0, 4.02049, 0, 0:0:0.0, 0.306077, 5.54083, 0.554083, 10:40:15.0, 7.27083, 0, 0:0:0.0, 8, 4.02049, 0.502561, 9:28:6.0, 13, 7.27083, 0.559294, 9:40:0.0, 
20140815, 545, 195125, 195150, 474, 195138,  ,  , 193739, 170542, 10:47:21.0, 195150, dn, -1, 14.7868, 1.58422, 1.58422,  , 4.02049, 0, 0:0:0.0, 4.02049, 0, 0:0:0.0, 1.58422, 6.8699, 0.68699, 10:40:44.0, 8.85505, 0, 0:0:0.0, 8, 4.02049, 0.502561, 9:28:6.0, 14, 8.85505, 0.632504, 9:40:0.0, 
20140815, 141, 195250, 195275, 644, 195254,  ,  , 194085, 172882, 10:47:32.0, 195250, up, 1, 14.7617, -0.501326, 0.501326, 0.501326, 4.52182, 0, 0:0:0.0, 4.52182, 0, 0:0:0.0,  , 6.8699, 0.68699, 10:40:44.0, 8.85505, 0, 0:0:0.0, 9, 4.52182, 0.502424, 9:28:6.0, 14, 8.85505, 0.632504, 9:40:0.0, 
20140815, 299, 195350, 195375, 481, 195360,  ,  , 194388, 176778, 10:47:51.0, 195350, up, 1, 14.6959, -1.31512, 1.31512, 1.31512, 5.83694, 0.583694, 9:28:6.0, 5.83694, 0, 0:0:0.0,  , 6.8699, 0.68699, 10:40:44.0, 8.85505, 0, 0:0:0.0, 10, 5.83694, 0.583694, 9:28:6.0, 14, 8.85505, 0.632504, 9:40:0.0, 
20140815, 507, 195225, 195250, 168, 195244,  ,  , 203348, 187399, 10:49:44.0, 195250, dn, -1, 14.751, 1.1017, 1.1017,  , 5.83694, 0.583694, 9:28:6.0, 5.83694, 0, 0:0:0.0, 1.1017, 7.48517, 0.748517, 10:41:48.0, 9.95675, 0, 0:0:0.0, 10, 5.83694, 0.583694, 9:28:6.0, 15, 9.95675, 0.663783, 9:40:0.0, 
